node_type_id model_type ei model_template morphology pop_name model_processing dynamics_params
156 biophysical e ctdb:Biophys1.hoc Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e4Rorb aibs_axon 485836906_fit_Ca_HVA.json
157 biophysical e ctdb:Biophys1.hoc Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e4Rorb aibs_axon 485836906_fit_Ih.json
158 biophysical e ctdb:Biophys1.hoc Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e4Rorb aibs_axon 485836906_fit_Ca_LVA.json
159 biophysical e ctdb:Biophys1.hoc Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e4Rorb aibs_axon 485836906_fit.json
160 biophysical e ctdb:Biophys1.hoc Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e4Rorb aibs_axon 485836906_fit_SK.json
161 biophysical e ctdb:Biophys1.hoc Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e4Rorb aibs_axon 485836906_fit_Kv2like.json
162 biophysical e ctdb:Biophys1.hoc Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e4Rorb aibs_axon 485836906_fit_K_T.json
163 biophysical e ctdb:Biophys1.hoc Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e4Rorb aibs_axon 485836906_fit_NaV.json
164 biophysical e ctdb:Biophys1.hoc Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e4Rorb aibs_axon 485836906_fit_Im_v2.json
165 biophysical e ctdb:Biophys1.hoc Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e4Rorb aibs_axon 485836906_fit_Kd.json
166 biophysical e ctdb:Biophys1.hoc Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e4Scnn1a aibs_axon 469798159_fit_Ca_LVA.json
167 biophysical e ctdb:Biophys1.hoc Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e4Scnn1a aibs_axon 469798159_fit_Im.json
168 biophysical e ctdb:Biophys1.hoc Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e4Scnn1a aibs_axon 469798159_fit_SK.json
169 biophysical e ctdb:Biophys1.hoc Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e4Scnn1a aibs_axon 469798159_fit_K_T.json
170 biophysical e ctdb:Biophys1.hoc Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e4Scnn1a aibs_axon 469798159_fit_K_P.json
171 biophysical e ctdb:Biophys1.hoc Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e4Scnn1a aibs_axon 469798159_fit_Nap.json
172 biophysical e ctdb:Biophys1.hoc Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e4Scnn1a aibs_axon 469798159_fit_Ca_HVA.json
173 biophysical e ctdb:Biophys1.hoc Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e4Scnn1a aibs_axon 469798159_fit_NaTs.json
174 biophysical e ctdb:Biophys1.hoc Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e4Scnn1a aibs_axon 469798159_fit.json
175 biophysical e ctdb:Biophys1.hoc Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e4Scnn1a aibs_axon 469798159_fit_Ih.json
176 biophysical e ctdb:Biophys1.hoc Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e4Scnn1a aibs_axon 469798159_fit_Kv3_1.json
177 biophysical e ctdb:Biophys1.hoc Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e4other aibs_axon 483061182_fit_NaTs.json
178 biophysical e ctdb:Biophys1.hoc Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e4other aibs_axon 483061182_fit_Im.json
179 biophysical e ctdb:Biophys1.hoc Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e4other aibs_axon 483061182_fit_Ca_HVA.json
180 biophysical e ctdb:Biophys1.hoc Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e4other aibs_axon 483061182_fit.json
181 biophysical e ctdb:Biophys1.hoc Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e4other aibs_axon 483061182_fit_K_P.json
182 biophysical e ctdb:Biophys1.hoc Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e4other aibs_axon 483061182_fit_Ih.json
183 biophysical e ctdb:Biophys1.hoc Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e4other aibs_axon 483061182_fit_Nap.json
184 biophysical e ctdb:Biophys1.hoc Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e4other aibs_axon 483061182_fit_SK.json
185 biophysical e ctdb:Biophys1.hoc Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e4other aibs_axon 483061182_fit_Ca_LVA.json
186 biophysical e ctdb:Biophys1.hoc Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e4other aibs_axon 483061182_fit_Kv3_1.json
187 biophysical e ctdb:Biophys1.hoc Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e4other aibs_axon 483061182_fit_K_T.json
188 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i4Pvalb aibs_axon 487667205_fit_Kv2like.json
189 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i4Pvalb aibs_axon 487667205_fit_SK.json
190 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i4Pvalb aibs_axon 487667205_fit_NaV.json
191 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i4Pvalb aibs_axon 487667205_fit_K_T.json
192 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i4Pvalb aibs_axon 487667205_fit.json
193 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i4Pvalb aibs_axon 487667205_fit_Ih.json
194 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i4Pvalb aibs_axon 487667205_fit_Kv3_1.json
195 biophysical i ctdb:Biophys1.hoc Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i4Pvalb aibs_axon 487667205_fit_Ca_LVA.json
