node_type_id model_template model_type model_processing dynamics_params ei morphology pop_name
182 ctdb:Biophys1.hoc biophysical aibs_axon 469798159_fit.json e Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e4Scnn1a
183 ctdb:Biophys1.hoc biophysical aibs_axon 469798159_fit_NaTs.json e Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e4Scnn1a
184 ctdb:Biophys1.hoc biophysical aibs_axon 483061182_fit_K_P.json e Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e4other
185 ctdb:Biophys1.hoc biophysical aibs_axon 483061182_fit_Ca_HVA.json e Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e4other
186 ctdb:Biophys1.hoc biophysical aibs_axon 483061182_fit_Ca_LVA.json e Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e4other
187 ctdb:Biophys1.hoc biophysical aibs_axon 483061182_fit.json e Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e4other
188 ctdb:Biophys1.hoc biophysical aibs_axon 483061182_fit_Kv3_1.json e Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e4other
189 ctdb:Biophys1.hoc biophysical aibs_axon 483061182_fit_Ih.json e Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e4other
190 ctdb:Biophys1.hoc biophysical aibs_axon 483061182_fit_g_pas.json e Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e4other
191 ctdb:Biophys1.hoc biophysical aibs_axon 483061182_fit_NaTs.json e Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e4other
192 ctdb:Biophys1.hoc biophysical aibs_axon 483061182_fit_K_T.json e Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e4other
193 ctdb:Biophys1.hoc biophysical aibs_axon 483061182_fit_Nap.json e Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e4other
194 ctdb:Biophys1.hoc biophysical aibs_axon 483061182_fit_Im.json e Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e4other
195 ctdb:Biophys1.hoc biophysical aibs_axon 483061182_fit_SK.json e Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e4other
196 ctdb:Biophys1.hoc biophysical aibs_axon 487667205_fit_Ca_LVA.json i Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i4Pvalb
197 ctdb:Biophys1.hoc biophysical aibs_axon 487667205_fit_SK.json i Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i4Pvalb
198 ctdb:Biophys1.hoc biophysical aibs_axon 487667205_fit_Kv2like.json i Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i4Pvalb
199 ctdb:Biophys1.hoc biophysical aibs_axon 487667205_fit_Ca_HVA.json i Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i4Pvalb
200 ctdb:Biophys1.hoc biophysical aibs_axon 487667205_fit_g_pas.json i Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i4Pvalb
201 ctdb:Biophys1.hoc biophysical aibs_axon 487667205_fit_Ih.json i Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i4Pvalb
202 ctdb:Biophys1.hoc biophysical aibs_axon 487667205_fit_Kv3_1.json i Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i4Pvalb
203 ctdb:Biophys1.hoc biophysical aibs_axon 487667205_fit_Kd.json i Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i4Pvalb
204 ctdb:Biophys1.hoc biophysical aibs_axon 487667205_fit_NaV.json i Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i4Pvalb
205 ctdb:Biophys1.hoc biophysical aibs_axon 487667205_fit.json i Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i4Pvalb
206 ctdb:Biophys1.hoc biophysical aibs_axon 487667205_fit_Im_v2.json i Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i4Pvalb
